start_seconds	end_seconds	start	end	section	text
912.720	914.720	00:15:12	00:15:14	early	já bychá si to vlážení cizeptán,
914.720	917.720	00:15:14	00:15:17	early	takže tam je to vlážení cizeptán,
917.720	919.720	00:15:17	00:15:19	early	a to vlážení cizeptán,
949.720	952.600	00:15:49	00:15:52	early	Všelé, že nekonikuval, všelé, čas do růmno,
952.600	954.600	00:15:52	00:15:54	early	konculta se tu i teď, že nekoné,
954.600	956.600	00:15:54	00:15:56	early	ale tak, že to pak je všelé, tak nebo.
956.600	959.140	00:15:56	00:15:59	early	Znova pakuje, nekoné, nekoné,
959.140	960.720	00:15:59	00:16:00	early	tak, že požil, no, svějte, když načíme,
960.720	964.880	00:16:00	00:16:04	early	To jsme tak, že jsi, že když dělám bělá mě uhuvol.
964.880	967.520	00:16:04	00:16:07	early	A pak buduk tak ho svím.
967.520	970.020	00:16:07	00:16:10	early	Má se si jist calls tam jiněli misece jiní na zékným názejd.
970.300	973.040	00:16:10	00:16:13	early	Minedo, záňa, pělá.
973.040	974.740	00:16:13	00:16:14	early	Vágy, porúčka.
974.740	976.080	00:16:14	00:16:16	early	Vágy, uvělá, působán.
976.080	979.760	00:16:16	00:16:19	early	Potabě růčka, a dělám nobře v jsi, tak.
979.760	982.820	00:16:19	00:16:22	early	A tady, sa, že, kterýs se někdy těl mám a že.
982.820	985.860	00:16:22	00:16:25	early	A to si, že, že, že, že, že nejto, že jsme.
1385.170	1387.750	00:23:05	00:23:07	early	Po podním návrům, tak zvomně stále,
1387.750	1392.350	00:23:07	00:23:12	early	jsme vláge do kuteji, dvání, tak se pro kutez výtůj studu.
1392.350	1394.350	00:23:12	00:23:14	early	Vždyme na svatník.
1394.350	1404.060	00:23:14	00:23:24	early	Pro 15, pro tě osvůstřežel jsem vám návrů.
1404.060	1406.060	00:23:24	00:23:26	early	Zipujem.
1406.060	1409.160	00:23:26	00:23:29	early	Zavším, vůrně cipilost vět.
1409.160	1411.160	00:23:29	00:23:31	early	Po kvácním.
1411.160	1414.640	00:23:31	00:23:34	early	Tedy taková věstě návrům, a návrům, a včet,
1444.640	1447.540	00:24:04	00:24:07	early	Tak připětel z tůmění na slové, že dožené se připětelé,
1447.540	1451.040	00:24:07	00:24:11	early	nečetí vůzce před aho opáčit, že se je vůzce vám nůzejí.
1456.340	1458.340	00:24:16	00:24:18	early	Čikně pelybilo náda, ktele předvěk.
1460.340	1462.340	00:24:20	00:24:22	early	Čikně já bychlo rášit, bo předvášlo,
1462.340	1464.340	00:24:22	00:24:24	early	a výsostoroš kové vám se výsostorošit.
1464.340	1465.340	00:24:24	00:24:25	early	A výsostorošit.
1467.340	1468.340	00:24:27	00:24:28	early	Tak výsostorošit.
1468.840	1471.840	00:24:28	00:24:31	early	A načitě, že můžeme výskapit,
1471.840	1472.840	00:24:31	00:24:32	early	a výskapit,
1473.840	1475.840	00:24:33	00:24:35	early	a výskapit, že je to háté,
1581.200	1585.200	00:26:21	00:26:25	early	Takže je vám masovat, je to vůržit se tás věl.
1585.200	1592.200	00:26:25	00:26:32	early	Zastobytovím je stásvaloje, městáš vělě z týspozitěstému,
1592.200	1595.200	00:26:32	00:26:35	early	když na tě tak jak je návrbom, to je to vůržit se o masová věl.
1597.200	1603.940	00:26:37	00:26:43	early	Všichni proho, a takže je.
1603.940	1606.940	00:26:43	00:26:46	early	Takže je komentat.
1606.940	1609.940	00:26:46	00:26:49	early	Zvěděčky je to je bedle elektrát.
1609.940	1616.540	00:26:49	00:26:56	early	Vyme můc se nebo kály, že tam sorovala, ale tak, že tě se v tě dělí je to na runganí,
1616.540	1619.540	00:26:56	00:26:59	early	bo se dělí takově městu soroval, tím, co vělší váv.
1619.540	1623.540	00:26:59	00:27:03	early	A na obvát rům, tím, co to můc se dělí.
1623.540	1627.840	00:27:03	00:27:07	early	Poříc vlobá je se rejení, počaké porotene, které s ne,
1627.840	1629.940	00:27:07	00:27:09	early	které můc se vávlo je tím vězně, které můc se vězně,
1629.940	1631.940	00:27:09	00:27:11	early	které můc se vězně, které můc se vězně, které můc se vězně,
1631.940	1634.900	00:27:11	00:27:14	early	zesnáce na bolojně je vývojské,
1634.900	1637.000	00:27:14	00:27:17	early	to které střeřskou,
1637.000	1640.820	00:27:17	00:27:20	early	s věskater,
1640.820	1642.760	00:27:20	00:27:22	early	s věstrem,
1642.760	1645.600	00:27:22	00:27:25	early	a zlojní štění,
1645.600	1648.240	00:27:25	00:27:28	early	s parvě ruleskou poštěm,
1648.240	1650.840	00:27:28	00:27:30	early	a které věstnosti na mákěc.
1650.840	1653.080	00:27:30	00:27:33	early	A můl je z týbô,
1653.080	1657.400	00:27:33	00:27:37	early	ty učitě je střeřskojná zárofomitřovném,
1657.400	1659.160	00:27:37	00:27:39	early	bylo vzpáře stráženě,
1749.160	1754.160	00:29:09	00:29:14	early	A nebo počí, takže je vám, když tady na myste vopsaném a vědly znamení.
1754.160	1760.360	00:29:14	00:29:20	early	A tady ty mách, který mách, který taková pak znamení znamení.
1760.360	1765.160	00:29:20	00:29:25	early	Do káří, k tomou, děkte bylo, tady je můdou vzvomu komentu.
1765.160	1769.160	00:29:25	00:29:29	early	Nýslov. Takže nechle nás můl a výslovu.
1769.160	1770.160	00:29:29	00:29:30	early	Prosti vědl.
1770.160	1775.160	00:29:30	00:29:35	early	Vždy to znamení, že znamení je znamení, který mách tak tak, takže vždy to znamení, který mách, který mám tak všechny, který mám tak vždy.
1835.160	1839.260	00:30:35	00:30:39	early	No bož vědě jako to, které vás můvěřeně,
1839.260	1844.060	00:30:39	00:30:44	early	no bo věděl na zeměno vásma, a nic se vám se vědou váskou.
1844.060	1848.980	00:30:44	00:30:48	early	A čip, to jsme tím, že tě samoznékli, můjláci, můjíte,
1848.980	1852.560	00:30:48	00:30:52	early	a ak se býgod je teda zmůměrá,
1852.560	1855.460	00:30:52	00:30:55	early	můjte vás vědou, které se vědou,
1855.460	1859.560	00:30:55	00:30:59	early	můjte váské váské nekonskuditří,
1859.560	1860.760	00:30:59	00:31:00	early	jé rýchli váská vyslík,
1860.760	1863.760	00:31:00	00:31:03	early	můjte vědou váské vyslík,
1893.760	1896.840	00:31:33	00:31:36	early	Když tému toho ty vysokávala sa bych na vědě.
1896.840	1898.360	00:31:36	00:31:38	early	Na mě vášu máte vědě,
1898.360	1900.520	00:31:38	00:31:40	early	když mě ho vám vády, nebo nebo nebo nebo nebo tím.
1900.520	1903.240	00:31:40	00:31:43	early	Když by vám ho vám výt věděli cep.
1904.280	1906.600	00:31:44	00:31:46	early	A to by tady nejsou tu vědě.
1906.600	1909.280	00:31:46	00:31:49	early	Takže musím věděl,
1909.280	1911.160	00:31:49	00:31:51	early	tím věděl, tím věděl,
1912.200	1913.800	00:31:52	00:31:53	early	tím věděl, tím věděl.
1913.800	1915.560	00:31:53	00:31:55	early	Tak se pětele vám jeská,
1915.560	1917.000	00:31:55	00:31:57	early	věděl, tím věděl, tím věděl,
2291.120	2295.580	00:38:11	00:38:15	early	Samože je způlášte do kterou kvůlíká také nealětším vůlík ten ani.
2295.580	2300.080	00:38:15	00:38:20	early	Samože je tě přimět si, že bylo je to připředit,
2300.080	2303.200	00:38:20	00:38:23	early	že bylo ten a nejčasce.
2303.200	2306.220	00:38:23	00:38:26	early	Tak to zvětším, tak to je tě kvůlík.
2306.220	2310.520	00:38:26	00:38:30	early	A ani se můle nám na závětším, že takže bylo kvůlík,
2310.520	2312.520	00:38:30	00:38:32	early	nečovalen.
2312.520	2314.020	00:38:32	00:38:34	early	Tak.
2314.020	2316.020	00:38:34	00:38:36	early	Tak to je tak.
2316.020	2318.020	00:38:36	00:38:38	early	A to se si jená.
2318.020	2320.020	00:38:38	00:38:40	early	Tak to už vláky.
2320.020	2329.020	00:38:40	00:38:49	early	Takže na ten vám, že v dátělou na polovník přemětšel, že mám tady pěkáře, které jsou měně,
2329.020	2338.020	00:38:49	00:38:58	early	mám vůkutéry so pojí, a tady jsou pěkáře, který jsou pět kůkí, a jde vždyt, který jsou pět kůkí, a jde to vždyt káry, a tož je káry na nezlegaří.
2398.020	2400.020	00:39:58	00:40:00	early	a věž se do někám fělá tím, já stáv...
3900.000	3901.000	01:05:00	01:05:01	late	Je zlo.
3901.000	3902.920	01:05:01	01:05:02	late	Tak, nejbyl do vědemenásobá v prepozadku,
3902.920	3904.160	01:05:02	01:05:04	late	a ty vždy se zledí,
3904.160	3905.640	01:05:04	01:05:05	late	takhle vlasteně,
3905.640	3907.640	01:05:05	01:05:07	late	těchla, da věsa ty 20 sekze,
3907.640	3909.640	01:05:07	01:05:09	late	je to svím pohlasování.
3909.640	3918.560	01:05:09	01:05:18	late	Cíchní byl hronám proč včet.
3918.560	3925.020	01:05:18	01:05:25	late	A zastopitoval,
3925.020	3928.860	01:05:25	01:05:28	late	těchla, těchla, těchla, těchla, těchla, těchla, těchla, těchla, těchla, těchla.
3928.860	3930.820	01:05:28	01:05:30	late	A neklepě no,
3930.820	3930.860	01:05:30	01:05:30	late	když se všetě byl hodit vzadku,
3930.860	3932.860	01:05:30	01:05:32	late	a takhle neklepě těchla, těchla, těchla, těchla, těchla.
4020.140	4022.140	01:07:00	01:07:02	late	Tak je zlo...
4023.100	4025.620	01:07:03	01:07:05	late	Můzáme nérie, jistak jen smateré.
4025.620	4029.180	01:07:05	01:07:09	late	O dům kvůrku, zvětři se to větři, zvětři takřinou.
4029.180	4031.140	01:07:09	01:07:11	late	Jom je vzály.
4031.660	4034.220	01:07:11	01:07:14	late	Tělu je nezablát, jen zvětři dostav.
4034.620	4036.620	01:07:14	01:07:16	late	Izvůrku se stěl.
4036.640	4041.380	01:07:16	01:07:21	late	Takže své chompo pysvět, abych kvůrku,
4041.380	4045.740	01:07:21	01:07:25	late	a uměli vám něj toho, na něj toho dva šíde, ktěli do kvůrkůrku,
4045.740	4049.040	01:07:25	01:07:29	late	a na rakhlujevene, a reçovou které se tuké.
4169.040	4173.040	01:09:29	01:09:33	late	Což je len nás kdovol, kde názkod dvá být steny.
4173.040	4177.040	01:09:33	01:09:37	late	A a tu je pro rása, tak já tím dává na kresit,
4177.040	4179.040	01:09:37	01:09:39	late	ale že než vědáku třeba, kdež nemojge?
4179.040	4181.040	01:09:39	01:09:41	late	Já chcíme blášit.
4181.040	4184.040	01:09:41	01:09:44	late	Štěláš třebí, kdyby povět nám.
4184.040	4186.040	01:09:44	01:09:46	late	Kto ho posmýt, toho důžíme 11. cedí.
4186.040	4190.040	01:09:46	01:09:50	late	Já je živím, koleku se měl práce,
4190.040	4192.040	01:09:50	01:09:52	late	k čím mou je vše celo.
4192.040	4197.040	01:09:52	01:09:57	late	Takže seň zelo vždy se nám časové v důmům.
4437.040	4439.040	01:13:57	01:13:59	late	a ještě převásil, že příčkujte.
4440.040	4444.040	01:14:00	01:14:04	late	A je nabřeba rejadu, a nabřeba, že to vám nečeba,
4444.040	4448.040	01:14:04	01:14:08	late	a jsem to uratil si cepo zvěra, nebo si tě tě stupad.
4448.040	4450.040	01:14:08	01:14:10	late	Svěště pod něštím, že nási tě se tě se tě se tě se tě,
4450.040	4453.040	01:14:10	01:14:13	late	když jen jen skase těrkával, když se vám do pořád nebo tě,
4453.040	4457.040	01:14:13	01:14:17	late	když se tě se tě se tě se tě, když se tě se tě se tě,
4457.040	4460.040	01:14:17	01:14:20	late	a když se tě se tě, když se tě se tě, když se tě se tě,
4640.040	4642.040	01:17:20	01:17:22	late	Tady tady jsme dilatutu...
4642.040	4646.100	01:17:22	01:17:26	late	Pro je nic o velikou, by je velikou, by je to tady venitku.
4646.100	4646.580	01:17:26	01:17:26	late	Ten viděl někde já neještě
4646.580	4648.420	01:17:26	01:17:28	late	SCHOFF što je nekdo, na můžetším.
4648.420	4649.740	01:17:28	01:17:29	late	A já mu si všetším.
4649.740	4652.080	01:17:29	01:17:32	late	A já je nefrutit, že užujíš koto je, který je ještě.
4652.080	4653.440	01:17:32	01:17:33	late	A zdaž je, který nekdo.
4653.440	4654.940	01:17:33	01:17:34	late	Što to je, děpilo a na můžetším,
4654.940	4655.760	01:17:34	01:17:35	late	který.
4655.760	4656.940	01:17:35	01:17:36	late	A já nekdo, žeš to nekdo.
4656.940	4658.940	01:17:36	01:17:38	late	A já nekdo, žeš to stejnou.
4658.940	4659.940	01:17:38	01:17:39	late	Tak, jde si, ces balls.
4659.940	4661.940	01:17:39	01:17:41	late	Tak, žežeš to je, půlepila a tady nicu lukové...
4691.940	4698.860	01:18:11	01:18:18	late	Tak měl jsem tak vlastně tě kložná, které já teda pro pročení zvory.
4698.860	4703.000	01:18:18	01:18:23	late	Měl jsem do kložná, s tě jsme věstře, ale za rům zíkáme na hlas,
4703.000	4706.260	01:18:23	01:18:26	late	který uraníte tak se tady měl rádi.
4706.260	4709.600	01:18:26	01:18:29	late	A to je to, že tak, že na koto je bude vlávane,
4709.600	4711.840	01:18:29	01:18:31	late	že je toho vět měl jsem zkášel kůkůkům, nechcem,
4711.840	4715.940	01:18:31	01:18:35	late	který mě mě stáv jsem, který měl měl než všel kůkům.
4715.940	4718.540	01:18:35	01:18:38	late	A tělme, když se vláv, když se po toho.
4718.540	4722.260	01:18:38	01:18:42	late	Jsě vychloálne si nekvám do prošností,
4722.380	4725.140	01:18:42	01:18:45	late	nadavnou čekomstra o těrnnej předpořebačně z advisebad.
4725.300	4729.060	01:18:45	01:18:49	late	Jako vyně dál, docecelou s tady komplovňa,
4729.220	4732.700	01:18:49	01:18:52	late	mimo jgel to předpořeb na spět nevím větřevé z tady ten kompornizat.
4732.860	4736.340	01:18:52	01:18:56	late	A zuceřit, žeto byl dosi se zvlášer,
4736.460	4739.140	01:18:56	01:18:59	late	a pak vychlochní,
4740.260	4741.580	01:19:00	01:19:01	late	rádi prostim zvlášer dalingov,
4741.740	4742.820	01:19:01	01:19:02	late	očitev to spětloz se,
4742.940	4744.640	01:19:02	01:19:04	late	že zíve tady tohuladě je
4774.640	4777.900	01:19:34	01:19:37	late	Myslímší to roba, je stuper, vávče chodná, to válí všechnovala.
4777.900	4782.520	01:19:37	01:19:42	late	A ten vezkrule do vát v které vzétevou krovu je chodná.
4782.520	4784.420	01:19:42	01:19:44	late	To zrpuná.
4785.420	4789.380	01:19:45	01:19:49	late	Tak se vymašu, vymašu vezkru vezkruce těvkáku,
4789.380	4791.520	01:19:49	01:19:51	late	můvěstal věstal, věstal, věstal, věstal, věstal.
4791.520	4793.920	01:19:51	01:19:53	late	Můvěstal, věstal, věstal, věstal, věstal.
4793.920	4794.920	01:19:53	01:19:54	late	Můvěstal, věstal, věstal, věstal.
4794.920	4796.920	01:19:54	01:19:56	late	Můvěstal, věstal, věstal, věstal.
4965.360	4966.840	01:22:45	01:22:46	late	No a ty tý vlastně je.
4966.840	4968.440	01:22:46	01:22:48	late	Co jsme na to zještěli?
4968.440	4971.040	01:22:48	01:22:51	late	No, nebo než je věděl, ale nebo nebo.
4971.040	4973.160	01:22:51	01:22:53	late	Koucí, koucí, koucí, ale nebo.
4973.160	4974.960	01:22:53	01:22:54	late	Ale nebo, koucí, koucí.
4974.960	4978.800	01:22:54	01:22:58	late	Ště, že si s nám je pohluctí cerny, bory jas, s takou mi cerny.
4978.800	4981.160	01:22:58	01:23:01	late	A ty jen vůzbí, koucí, koucí.
4983.680	4986.960	01:23:03	01:23:06	late	Takže, já je kouledí, ale můž jsem tím, že já dvětí se stově.
5166.960	5168.960	01:26:06	01:26:08	late	Tak, kdyby jsme vládzili zváváná.
5168.960	5171.560	01:26:08	01:26:11	late	A tě a neznam, a tě nevětě nevětě šitáme,
5171.560	5172.860	01:26:11	01:26:12	late	která znamal tak větě.
5172.860	5173.860	01:26:12	01:26:13	late	Tak, tak, tak, tak, tak.
5173.860	5174.860	01:26:13	01:26:14	late	Zobrím, které mi negrásovětě.
5174.860	5176.860	01:26:14	01:26:16	late	A tě se vět vôv větě?
5176.860	5177.860	01:26:16	01:26:17	late	Větě?
5177.860	5178.860	01:26:17	01:26:18	late	Větě?
5178.860	5179.860	01:26:18	01:26:19	late	Větě.
5179.860	5180.860	01:26:19	01:26:20	late	Větě.
5180.860	5181.860	01:26:20	01:26:21	late	Větě.
5181.860	5182.860	01:26:21	01:26:22	late	Větě.
5182.860	5183.860	01:26:22	01:26:23	late	Větě.
5183.860	5184.860	01:26:23	01:26:24	late	Větě.
5184.860	5185.860	01:26:24	01:26:25	late	Větě.
5185.860	5186.860	01:26:25	01:26:26	late	Větě.
5186.860	5187.860	01:26:26	01:26:27	late	Větě.
5187.860	5188.860	01:26:27	01:26:28	late	Větě.
5188.860	5189.860	01:26:28	01:26:29	late	Větě.
5189.860	5190.860	01:26:29	01:26:30	late	Větě.
5190.860	5191.860	01:26:30	01:26:31	late	Větě.
5191.860	5192.860	01:26:31	01:26:32	late	Větě.
5786.460	5794.460	01:36:26	01:36:34	late	A jež jsi, že je to všechno, že je to všechno, že je to všechno, že je to všechno.
